InvoiceNo,CustomerID,InvoiceDate,Country,StockCode,Description,Quantity,UnitPrice,Revenue,Date,DateID
536365,17850.0,2010-12-01 08:26:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-01 08:26:00,1
536366,17850.0,2010-12-01 08:28:00,United Kingdom,22633,HAND WARMER UNION JACK,6,1.85,11.100000000000001,2010-12-01 08:28:00,2
536367,13047.0,2010-12-01 08:34:00,United Kingdom,84879,ASSORTED COLOUR BIRD ORNAMENT,32,1.69,54.08,2010-12-01 08:34:00,3
536368,13047.0,2010-12-01 08:34:00,United Kingdom,22960,JAM MAKING SET WITH JARS,6,4.25,25.5,2010-12-01 08:34:00,3
536369,13047.0,2010-12-01 08:35:00,United Kingdom,21756,BATH BUILDING BLOCK WORD,3,5.95,17.85,2010-12-01 08:35:00,4
536370,12583.0,2010-12-01 08:45:00,France,22728,ALARM CLOCK BAKELIKE PINK,24,3.75,90.0,2010-12-01 08:45:00,5
536371,13748.0,2010-12-01 09:00:00,United Kingdom,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,80,2.55,204.0,2010-12-01 09:00:00,6
536372,17850.0,2010-12-01 09:01:00,United Kingdom,22632,HAND WARMER RED POLKA DOT,6,1.85,11.100000000000001,2010-12-01 09:01:00,7
536373,17850.0,2010-12-01 09:02:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-01 09:02:00,8
536374,15100.0,2010-12-01 09:09:00,United Kingdom,21258,VICTORIAN SEWING BOX LARGE,32,10.95,350.4,2010-12-01 09:09:00,9
536375,17850.0,2010-12-01 09:32:00,United Kingdom,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2.55,15.299999999999999,2010-12-01 09:32:00,10
536376,15291.0,2010-12-01 09:32:00,United Kingdom,22114,HOT WATER BOTTLE TEA AND SYMPATHY,48,3.45,165.60000000000002,2010-12-01 09:32:00,10
